Filename,Baseline,TopMargin,LetterSize,LineSpacing,WordSpacing,PenPressure,SlantAngle
j06-008.png,0.26,2.29,11.78,5.06,1.58,124.03,0
g06-050e.png,0.04,0.0,10.62,7.29,1.35,181.43,180
d06-096.png,-0.19,0.0,12.67,2.52,1.32,126.84,30
k04-033.png,0.03,1.51,10.62,6.44,1.76,130.94,15
d07-089.png,-0.02,0.0,15.27,2.95,0.97,154.96,0
a03-030.png,0.27,0.0,10.1,5.79,2.08,166.82,-30
g06-011l.png,0.22,0.0,7.62,6.66,1.89,134.94,15
b01-062.png,-0.39,0.0,19.5,2.03,0.92,179.02,15
c02-078.png,0.28,0.0,12.9,3.56,1.06,146.94,30
p03-103.png,-0.18,0.0,13.25,3.23,1.19,129.49,180
a01-096u.png,-0.42,0.0,12.1,4.61,2.29,152.78,180
d06-104.png,1.15,0.0,20.5,2.01,1.12,151.47,30
a01-077u.png,-0.18,0.0,9.4,6.34,3.2,151.11,180
g04-098.png,-0.01,0.0,15.14,2.93,1.23,165.17,0
g06-026g.png,0.51,0.0,14.0,2.99,0.82,151.4,30
b01-057.png,-0.09,0.0,19.36,1.99,0.97,180.23,15
c03-000d.png,0.06,0.0,13.75,5.56,1.27,152.2,0
m01-090.png,-0.17,0.0,8.12,6.11,1.5,131.86,30
e04-083.png,-0.41,0.0,8.57,5.4,2.3,136.11,30
c06-014.png,-0.1,0.0,23.4,1.68,1.13,136.91,0
g06-018i.png,0.14,0.0,10.14,9.45,2.8,168.03,180
l04-174.png,0.4,0.0,11.0,4.15,2.07,150.61,180
f04-004.png,-0.15,0.0,17.57,2.48,1.19,186.85,15
j04-019.png,0.2,0.0,12.8,3.56,1.47,148.43,180
e02-000.png,-0.14,0.0,11.25,4.32,1.74,126.8,15
g06-042o.png,0.92,0.0,16.38,2.7,1.07,129.4,45
p02-017.png,-0.76,0.0,9.14,5.45,1.76,131.62,30
g06-018g.png,0.08,0.0,13.17,8.32,1.41,154.88,0
h04-057.png,-0.03,0.0,11.5,4.05,1.52,141.47,30
m01-060.png,-0.1,0.19,15.71,4.23,1.11,132.88,0
f07-088b.png,0.2,0.0,9.29,6.06,1.86,131.09,15
a02-037.png,-0.22,0.0,13.7,3.84,1.19,166.28,30
n03-106.png,0.2,0.0,10.64,4.95,2.21,136.39,0
g06-031n.png,0.03,0.07,13.55,3.41,1.08,129.69,45
d06-086.png,-0.12,0.0,18.18,2.15,0.73,171.17,45
f07-013.png,-0.35,0.0,15.27,2.91,1.18,157.03,-5
k04-142.png,0.32,1.47,14.29,6.14,1.22,152.75,0
b01-118.png,0.19,0.0,13.75,3.32,1.3,171.33,45
e04-000.png,-0.11,0.8,6.29,13.16,1.95,133.14,0
g06-026k.png,0.15,0.0,12.67,3.55,1.41,163.21,-5
n06-082.png,-0.01,0.0,8.86,5.44,2.09,145.93,180
c03-000c.png,0.39,0.0,15.38,4.83,2.59,129.48,0
b04-047.png,0.2,0.0,15.8,2.7,0.96,185.08,180
a04-096.png,-0.26,1.66,9.67,5.13,1.44,140.28,15
g06-042m.png,0.08,0.0,10.29,7.24,1.63,166.31,30
a02-042.png,0.11,0.0,13.86,3.08,1.13,165.74,15
g01-037.png,-0.14,0.0,11.1,4.26,2.13,182.52,30
d04-089.png,0.28,0.0,11.0,4.94,1.26,132.06,0
a01-030u.png,-0.11,0.0,12.73,3.81,1.6,154.42,180
e04-026.png,-0.6,0.0,14.0,3.35,1.61,152.72,15
g06-045a.png,0.3,0.19,10.75,4.29,1.75,141.64,30
a02-078.png,0.57,0.75,4.0,19.25,3.69,119.79,0
d06-091.png,-0.0,0.17,11.73,4.0,1.87,141.68,180
g06-031e.png,0.05,0.0,13.14,6.03,0.8,180.25,0
g06-047p.png,0.09,1.16,13.83,7.28,0.93,123.37,0
g01-070.png,0.24,0.0,12.4,3.77,1.38,178.61,0
n04-100.png,0.42,0.0,12.71,3.63,1.65,131.72,15
g06-050f.png,0.32,2.63,12.17,8.21,1.22,142.93,-15
n06-133.png,0.19,0.0,8.0,8.03,2.33,142.59,180
b06-032.png,-0.17,0.0,13.57,6.19,1.41,139.32,45
a01-014.png,0.38,0.0,13.0,3.34,1.42,138.24,0
b06-004.png,0.01,2.59,13.5,5.72,1.64,124.16,0
g06-042h.png,0.13,0.0,8.38,10.45,3.26,135.74,0
g06-011g.png,0.05,0.0,12.75,3.58,0.92,154.94,15
p03-029.png,0.07,2.45,15.1,3.48,2.36,133.43,180
n02-045.png,0.03,0.48,14.5,3.03,1.04,148.62,30
d01-085.png,0.03,3.22,19.57,2.61,0.67,175.08,-15
f04-049.png,0.35,0.0,11.71,3.94,1.09,171.12,180
f02-036.png,-0.08,0.0,9.67,5.1,2.51,121.93,15
a01-020.png,-0.14,0.0,11.22,4.45,1.85,143.63,30
c03-003e.png,-0.06,0.0,15.56,4.13,0.96,136.95,0
l04-093.png,-0.19,3.01,10.29,7.9,1.26,142.29,0
m04-200.png,0.15,2.06,13.57,3.28,1.38,159.99,15
a01-102u.png,-1.0,0.0,11.67,5.72,1.67,153.55,180
g06-018r.png,-0.17,0.0,11.71,3.95,1.11,162.45,-15
c04-017.png,0.21,0.0,11.14,5.13,1.62,143.52,-5
g01-067.png,0.15,0.0,13.3,3.47,1.4,178.08,5
c03-094c.png,0.35,0.0,14.8,3.93,1.46,126.23,180
k04-156.png,0.77,4.71,14.43,4.79,1.65,137.93,180
d03-112.png,-0.29,0.0,5.5,14.82,3.97,123.76,180
m02-072.png,0.11,0.0,19.86,3.83,0.62,158.85,30
r03-002.png,0.38,4.78,11.09,5.01,2.1,134.95,180
c02-059.png,0.61,0.0,11.1,4.23,2.29,139.72,0
g06-018e.png,0.34,0.99,13.14,5.91,1.61,182.27,180
k02-062.png,0.39,0.0,21.67,1.7,0.89,160.61,5
n01-057.png,-0.19,0.89,15.8,3.53,1.53,141.89,45
e04-052.png,0.28,0.0,16.71,2.31,0.76,167.58,30
j04-111.png,0.08,2.06,12.6,4.16,1.42,161.2,180
g06-045e.png,0.22,0.0,12.67,3.37,0.98,182.7,180
b06-079.png,0.55,0.0,11.8,4.08,1.91,142.19,45
a05-053.png,-0.1,3.9,8.73,6.27,2.03,142.02,0
d06-027.png,0.36,0.0,11.43,4.24,1.53,131.06,45
a01-053.png,0.13,0.0,32.1,0.84,0.71,203.63,45
a02-102.png,0.25,2.29,10.5,6.87,2.4,129.87,15
d04-101.png,-0.16,0.0,9.33,5.0,1.09,129.85,-15
a03-037.png,0.58,0.4,12.62,4.95,1.07,147.86,-15
g06-037p.png,0.49,0.0,11.0,5.74,1.19,123.35,0
c06-005.png,0.11,0.0,14.44,3.03,2.16,138.86,5
h04-025.png,0.17,0.0,13.5,3.19,0.87,150.12,180
d04-081.png,-0.02,0.0,12.11,3.91,1.39,153.66,180
l01-119.png,0.21,1.45,13.8,3.99,0.94,141.33,15
p02-139.png,0.44,6.27,7.33,31.77,2.2,115.92,0
c03-021f.png,-0.03,0.0,10.54,4.19,1.19,142.41,180
e06-046.png,0.5,0.0,11.17,4.39,1.91,179.99,15
h01-030.png,-0.48,0.16,18.27,2.19,1.35,197.32,180
c03-081b.png,0.04,0.0,10.9,5.19,1.62,172.7,45
f07-081b.png,-0.16,0.0,11.43,4.14,0.95,133.01,0
f04-007.png,-0.32,3.92,9.43,9.17,1.84,161.82,15
e06-006.png,0.5,0.0,13.0,3.91,1.8,142.78,-5
a04-085.png,0.51,0.0,11.78,4.38,1.85,159.08,180
b01-079.png,0.0,0.0,8.36,5.82,1.98,158.41,0
f07-009.png,0.62,1.05,17.2,3.14,1.06,165.62,30
c03-096f.png,-0.04,0.0,15.33,4.12,2.16,139.93,180
b02-105.png,0.17,0.0,6.0,8.47,2.79,130.14,45
g01-008.png,-0.18,0.0,13.22,3.37,1.27,192.41,0
c04-134.png,0.49,6.46,4.8,13.46,1.57,123.3,15
j06-000.png,0.27,0.0,10.0,5.12,1.57,127.89,0
e06-003.png,0.28,0.0,20.55,1.89,0.88,143.16,45
