Filename,Baseline,TopMargin,LetterSize,LineSpacing,WordSpacing,PenPressure,SlantAngle,EmotionalStability,WillPower,Modesty,PersonalHarmony,Discipline,Concentration,Communicativeness,SocialIsolation,Slant
img5.png,2,0,1,0,0,0,3,1,1,1,0,0,0,1,1,1.0
img1501.png,0,0,1,0,0,0,2,0,1,1,0,0,0,1,1,1.0
img23d.png,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0.0
img401.png,1,1,0,1,1,0,2,1,1,0,0,0,1,0,0,1.0
img2901.png,1,1,0,0,2,2,2,1,1,0,0,0,0,0,1,1.0
img601.png,1,1,0,1,1,0,2,1,1,0,0,0,1,0,0,1.0
img201.png,1,0,0,0,2,0,2,1,1,1,0,0,0,0,1,1.0
img15.png,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0.0
img2001.png,2,0,1,0,0,0,2,1,1,1,0,0,0,1,1,1.0
img27.png,1,0,1,0,0,2,1,1,1,1,0,0,0,1,1,0.0
img1901.png,0,0,0,2,0,0,2,0,1,1,0,0,0,0,1,1.0
img24.png,1,1,1,0,0,2,6,0,1,1,0,1,0,1,1,3.0
img3.png,1,1,1,0,0,0,4,0,1,1,0,0,0,1,1,1.0
img4.png,1,0,1,0,0,0,3,1,1,1,0,0,0,1,1,1.0
img29d.png,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,0.0
img1701.png,0,0,0,1,1,0,2,0,1,1,0,0,1,0,0,1.0
img17.png,1,0,2,2,0,0,1,1,1,1,0,0,0,0,1,0.0
img10.png,1,0,0,2,1,0,3,1,1,1,0,0,0,0,0,1.0
img1.png,2,0,2,0,2,0,4,0,1,1,0,0,0,0,1,1.0
img501.png,1,1,0,1,1,0,2,1,1,0,0,0,1,0,0,1.0
img29.png,1,0,2,1,2,2,6,0,1,1,0,0,0,0,0,3.0
img16.png,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0.0
img8.png,2,0,0,1,1,0,4,0,1,1,0,0,1,0,0,1.0
img20.png,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0.0
img24d.png,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0.0
img18.png,1,1,0,1,2,0,1,1,1,0,0,0,1,0,0,0.0
img30d.png,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,0.0
img1201.png,0,0,1,0,0,0,2,0,1,1,0,0,0,1,1,1.0
img19.png,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0.0
img2801.png,1,0,0,1,1,2,2,1,1,1,0,0,1,0,0,1.0
img12.png,1,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0.0
img901.png,1,0,0,2,0,0,3,1,1,1,0,0,0,0,1,1.0
img13.png,2,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0.0
img26.png,1,0,1,0,0,2,6,0,1,1,0,0,0,1,1,3.0
img1101.png,2,0,0,0,1,0,2,1,1,1,0,0,0,0,1,1.0
img28d.png,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0.0
img2701.png,1,0,0,2,2,0,2,1,1,1,1,0,0,0,0,1.0
img801.png,1,0,0,0,0,2,2,1,1,1,0,0,0,0,1,1.0
img301.png,1,1,0,2,2,0,2,1,1,0,1,0,0,0,0,1.0
img22d.png,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0
img30.png,2,0,1,1,0,2,6,0,1,1,0,0,0,1,1,3.0
img2201.png,2,0,1,0,0,2,2,1,1,1,0,0,0,1,1,1.0
img21d.png,0,0,0,2,2,0,0,0,1,1,1,0,0,0,0,0.0
img27d.png,0,0,0,2,2,0,0,0,1,1,1,0,0,0,0,0.0
img7.png,1,0,0,1,1,0,3,1,1,1,0,0,1,0,0,1.0
img23.png,1,1,1,0,0,2,6,0,1,1,0,1,0,1,1,3.0
img2101.png,2,0,1,0,0,2,2,1,1,1,0,0,0,1,1,1.0
img25.png,0,0,1,1,0,2,5,0,1,1,0,0,0,1,1,2.0
img26d.png,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0
img22.png,1,0,2,1,1,2,6,0,1,1,0,0,0,0,0,3.0
img21.png,1,0,1,0,0,2,6,0,1,1,0,0,0,1,1,3.0
img9.png,1,0,2,0,0,2,3,1,1,1,0,0,0,0,1,1.0
img1801.png,0,0,1,0,0,0,2,0,1,1,0,0,0,1,1,1.0
img1401.png,0,1,0,0,1,0,2,0,1,0,0,0,0,0,1,1.0
img1001.png,1,0,2,0,0,2,2,1,1,1,0,0,0,0,1,1.0
img3001.png,1,1,0,1,2,1,2,1,0,0,0,0,1,0,0,1.0
img2.png,1,0,2,2,2,2,3,1,1,1,1,0,0,0,0,1.0
img1301.png,0,0,1,0,0,0,3,0,1,1,0,0,0,1,1,1.0
img6.png,1,0,2,1,0,0,3,1,1,1,0,0,0,0,1,1.0
img28.png,1,0,2,1,0,2,6,0,1,1,0,0,0,0,1,3.0
img25d.png,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0.0
img2601.png,2,0,0,0,0,2,2,1,1,1,0,0,0,0,1,1.0
img14.png,1,1,0,1,2,0,1,1,1,0,0,0,1,0,0,0.0
